Genotype Germplasm Treatment Compartment Block Plot Lasiosphaeriaceae Chaetomiaceae Pezizomycotina_fam_Incertae_sedis Sordariaceae Trichosphaeriaceae Bartaliniaceae Xylariales_fam_Incertae_sedis Chaetosphaeriaceae Myrmecridiaceae Microascales_fam_Incertae_sedis Microascaceae Togniniaceae Periconiaceae Herpotrichiellaceae Cladosporiaceae Mycosphaerellaceae Leotiaceae Piskurozymaceae Pyronemataceae Sanchytriaceae Sympoventuriaceae Chytridiaceae Mortierellaceae Chrysozymaceae Mrakiaceae Rhizophydiaceae Geastraceae Ceratobasidiaceae Rhizopodaceae Entolomataceae Strophariaceae Ganodermataceae Cantharellales_fam_Incertae_sedis Piptocephalidaceae Phaeosphaeriaceae Gymnoascaceae Pleosporaceae Didymosphaeriaceae Thyridariaceae Stachybotryaceae Bionectriaceae Hypocreales_fam_Incertae_sedis Aspergillaceae Arachnomycetaceae Trichocomaceae Myxotrichaceae Hyaloscyphaceae Pseudeurotiaceae Onygenales_fam_Incertae_sedis Sordariales_fam_Incertae_sedis Glomerellaceae Pezizaceae Clavicipitaceae Hypocreaceae Nectriaceae Cordycipitaceae Helotiaceae Niessliaceae Ophiocordycipitaceae
CK_S112_2 X112 Hybrid CK Rhizosphere 2 P08 165 165 4411 0 0 2 143 0 31 0 14 13 3 102 0 0 0 122 2 0 0 27 180 0 0 0 0 263 7630 13 0 0 0 27 7 0 0 8 7 21 3297 10340 4143 0 59742 3 0 339 0 0 0 0 292 2346 1134 3 32 8 9
CK_S112_3 X112 Hybrid CK Rhizosphere 3 P08 15 68 194 0 0 0 14 2 15 0 0 22 4 29 0 2 0 61 0 4 0 11 57 0 0 0 0 0 142 0 0 0 71 0 0 0 0 0 4 115 418 3241 16396 0 57833 0 0 255 0 0 0 107 29 129 681 0 27 9 11
CK_S113_1 X113 Hybrid CK Rhizosphere 1 P05 42 239 560 0 3 5 217 4 166 0 0 25 0 115 0 0 0 396 20 19 0 1262 1260 18 0 0 6 13 21 9 0 0 5 65 15 3 0 5 4 37 396 740 3027 2 1821 3 0 832 5 6 0 2 96 286 1359 54 128 6 21
CK_S113_2 X113 Hybrid CK Rhizosphere 2 P05 283 311 14530 0 0 5 122 17 92 0 2 91 20 197 0 9 0 237 100 0 0 376 484 12 3 4 0 25 50 0 0 0 25 10 4 3 0 10 8 59 348 1445 4011 2 55463 0 2 977 0 15 3 0 143 277 1655 0 75 3 17
CK_S113_3 X113 Hybrid CK Rhizosphere 3 P05 267 519 13975 41 9 45 158 52 90 2 0 46 7 195 7 8 0 410 11 0 0 35 955 28 0 0 0 0 66 0 0 3 36 12 22 0 0 6 19 101 663 1561 2459 2 63124 11 30 3518 7 0 18 0 359 698 2215 0 272 8 0
CK_S114_1 X114 Hybrid CK Rhizosphere 1 P14 470 207 346 3 8 18 241 20 238 0 3 216 0 440 13 6 7 630 51 0 12 0 2351 58 15 0 8 12 12 272 0 0 1674 283 12 0 0 11 17 207 3199 2240 9387 6 5660 13 0 2271 12 13 0 10 201 494 3949 0 991 11 10
CK_S114_2 X114 Hybrid CK Rhizosphere 2 P14 204 1013 5905 0 2 7 293 360 76 0 11 79 12 841 0 11 2 433 11 0 3 87 1056 51 13 4 0 30 8489 13 0 2 3 79 3 11 0 0 14 44 10678 7516 7242 2 33628 3 7 1517 4 4 0 0 211 540 2308 0 128 435 14
CK_S114_3 X114 Hybrid CK Rhizosphere 3 P14 929 937 3850 11 26 47 280 55 60 0 7 199 5 113 0 10 0 200 5 10 2 4 1227 0 5 0 3 13 142 0 0 0 0 14 10 9 0 0 12 176 749 10456 3552 7 10026 24 5 1945 3 2 20 17 257 793 2915 0 251 66 118
CK_S115_1 X115 Hybrid CK Rhizosphere 1 P11 563 191 286 0 0 8 186 12 73 3 12 716 0 784 5 7 0 908 74 0 0 2 2944 68 13 4 2 872 67 0 0 0 13 121 12 8 384 0 17 50 3312 995 3498 6 16057 8 5 3425 5 24 0 0 140 533 4124 0 353 24 14
CK_S115_2 X115 Hybrid CK Rhizosphere 2 P11 916 465 23315 5 2 12 301 31 132 0 14 92 27 569 12 0 2 1141 27 2 0 73 3131 83 10 0 0 38 156 836 0 5 71 172 47 10 0 7 21 88 1634 7194 16784 8 10970 18 0 2948 4 21 5 0 307 588 2844 0 491 10 5
